region,pos_sig_diff,neg_sig_diff,pos_trend,neg_trend,pos_diff_m2,neg_diff_m2,pos_pixels,neg_pixels,total_pixels,neg_area,pos_area,total_area,pos_diff_km2,neg_diff_km2,pos_diff_hct,neg_diff_hct,net_diff_hct,percent_positive,percent_negative,country
Zamfara,0.011414497000411868,0.015333011526461321,0.000534760689899146,0.0008145070153344709,56418.7574,75792.50291,16100648,23652424,192771893,0.508527116,0.346163932,91095097.20051,564.187574,757.9250291,56.4187574,75.79250291,-19.373745510000003,1.4820109712693097e-05,2.177126775587761e-05,Nigeria
Sokoto,0.006487454584247613,0.0010541280933323914,0.0003461659294770898,5.330413076875485e-05,32070.703970000002,5210.142407,12547576,2996508,113690891,0.064424922,0.269772884,53722749.63107,320.7070397,52.10142407,32.07070397,5.210142407,26.860561562999997,1.1549625390751652e-05,2.758185714945297e-06,Nigeria
Maradi,0.029975024891458545,0.0015378943029542836,0.0016019799065667229,7.329261174622364e-05,148163.173564,7602.0678333999995,69508419,4733395,202657575,0.1017679925,1.4944310085,95766640.64669,1481.63173564,76.020678334,148.163173564,7.6020678334,140.5611057306,6.39801823837054e-05,4.3569322932538455e-06,Niger
Tahoua,0.0026173593708761927,0.00015146809267050016,0.0001541716565214077,6.9359209818383675e-06,12935.1801694,748.68927611,5924781,529137,93910636,0.0113764455,0.1273827915,44379662.73871,129.351801694,7.4868927611,12.9351801694,0.74868927611,12.18649089329,5.453563387242521e-06,4.870529678709384e-07,Niger
Tillabéri,0.0012741112280855462,0.00027541195808632456,7.397939248613037e-05,1.330860652979104e-05,6297.6801227,1361.2761638132,2272112,698108,172984969,0.015009322,0.048850408000000005,81752010.30815,62.976801226999996,13.612761638132,6.2976801227,1.3612761638132,4.9364039588868,2.091403347214754e-06,6.425851401327918e-07,Niger
Zinder,0.02101671658099849,0.001964188687995352,0.001092857968898956,0.00010175723001277892,103885.2321024411,9708.7855433731,43261968,5903106,360821803,0.126916779,0.930132312,170511335.78557,1038.852321024411,97.087855433731,103.8852321024411,9.7087855433731,94.176446559068,3.982119925527333e-05,5.433612272354311e-06,Niger
Agadez,2.022188452438038e-07,6.93178889070215e-10,1.140768154166532e-08,3.7501231873286186e-11,0.99931073,0.0034255022,225,2,34594326,4.3e-08,4.8375e-06,16350402.06163,0.0099931073,3.4255022000000003e-05,0.0009993107300000001,3.4255022e-06,0.0009958852278000002,2.0710499883954651e-10,1.8409333230181914e-12,Niger
Diffa,0.001106240544160893,0.001034016040261244,6.111155089245532e-05,4.795036706834436e-05,5469.570902,5112.94963296,1826307,2827036,49432852,0.060781273999999996,0.0392656005,23357717.2309,54.69570902,51.129496329599995,5.469570902,5.1129496329599995,0.35662126904000013,1.6810547071806916e-06,2.6021923888860276e-06,Niger
Dosso,0.007223378734482639,0.0018917834800354302,0.00037761708419532385,9.301407755807963e-05,35702.302007817,9350.852579641001,12454509,3261528,158162005,0.070122852,0.2677719435,74744695.13888,357.02302007817,93.50852579641,35.702302007817,9.350852579641,26.351449428176,1.1463960319964984e-05,3.0021277895784375e-06,Niger
Hodh El Gharbi,1.6005090945879496e-06,4.776594868802938e-08,7.786977530766693e-08,2.8528575071205503e-09,7.9092822,0.23604637,1117,87,34594326,1.8705000000000001e-06,2.40155e-05,16350402.06163,0.079092822,0.0023604637,0.0079092822,0.00023604637,0.00767323583,1.0281612609056597e-09,8.008059955129131e-11,Mauritania
Assaba,1.2626990235903461e-06,6.664998028341617e-07,5.494195825300413e-08,3.4197365767713684e-08,6.24214985,3.29447286,1287,1061,24710868,2.28115e-05,2.7670500000000002e-05,11678858.61545,0.0624214985,0.0329447286,0.00624214985,0.00329447286,0.00294767699,1.184640593362206e-09,9.766151278611505e-10,Mauritania
Guidimakha,2.431501099315553e-06,7.729899421364237e-06,1.2379294870291116e-07,3.984699908837043e-07,12.01706406,38.203333,4805,16291,14829633,0.00035025649999999997,0.00010330749999999999,7007315.1692699995,0.1201706406,0.38203333,0.012017064059999999,0.038203333,-0.02618626894,4.422842308551204e-09,1.499532238264468e-08,Mauritania
Hodh Chargi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4941729,0.0,0.0,2335771.72309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mauritania
