geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((7.485960700996013 14.672482973952183, 7.785399129035852 14.672482973952183, 7.785399129035852 14.971921401992024, 7.485960700996013 14.971921401992024, 7.485960700996013 14.672482973952183))",8_16_4,NER,Maradi,5.909532682123848e-05,1.1749271312614082e-05,3.0210458063797887e-06,5.263440222728708e-07
"POLYGON ((7.485960700996013 14.971921401992024, 7.785399129035852 14.971921401992024, 7.785399129035852 15.271359830031864, 7.485960700996013 15.271359830031864, 7.485960700996013 14.971921401992024))",8_16_7,NER,Maradi,1.1322910814566192e-06,3.2777333566673034e-06,5.797058344532619e-08,1.370119732786755e-07
"POLYGON ((7.785399129035852 14.373044545912343, 8.084837557075693 14.373044545912343, 8.084837557075693 14.672482973952183, 7.785399129035852 14.672482973952183, 7.785399129035852 14.373044545912343))",8_16_2,NER,Maradi,0.00021267953760149028,4.669459402143365e-06,1.0753965800606475e-05,2.1240779402549768e-07
"POLYGON ((7.785399129035852 14.672482973952183, 8.084837557075693 14.672482973952183, 8.084837557075693 14.971921401992024, 7.785399129035852 14.971921401992024, 7.785399129035852 14.672482973952183))",8_16_5,NER,Zinder,2.4044898377915678e-05,8.621323441497861e-06,1.1981751359645574e-06,3.899113308032842e-07
"POLYGON ((7.785399129035852 14.971921401992024, 8.084837557075693 14.971921401992024, 8.084837557075693 15.271359830031864, 7.785399129035852 15.271359830031864, 7.785399129035852 14.971921401992024))",8_16_8,NER,Zinder,1.8793395231951467e-06,1.643615820031313e-06,9.208659133906918e-08,6.41369871124403e-08
"POLYGON ((8.084837557075693 14.373044545912343, 8.384275985115533 14.373044545912343, 8.384275985115533 14.672482973952183, 8.084837557075693 14.672482973952183, 8.084837557075693 14.373044545912343))",9_16_0,NER,Maradi,0.00010498311758298321,1.0803677072585116e-05,5.446059825190083e-06,4.447619767642828e-07
"POLYGON ((8.084837557075693 14.672482973952183, 8.384275985115533 14.672482973952183, 8.384275985115533 14.971921401992024, 8.084837557075693 14.971921401992024, 8.084837557075693 14.672482973952183))",9_16_3,NER,Zinder,2.4138904742020812e-05,2.0132258524405315e-06,1.2689750900143181e-06,9.580268792834663e-08
"POLYGON ((8.084837557075693 14.971921401992024, 8.384275985115533 14.971921401992024, 8.384275985115533 15.271359830031864, 8.084837557075693 15.271359830031864, 8.084837557075693 14.971921401992024))",9_16_6,NER,Zinder,2.1929485077827835e-06,8.916841124120409e-07,1.020191262244311e-07,5.05267264423266e-08
"POLYGON ((8.384275985115533 14.373044545912343, 8.683714413155373 14.373044545912343, 8.683714413155373 14.672482973952183, 8.384275985115533 14.672482973952183, 8.384275985115533 14.373044545912343))",9_16_1,NER,Zinder,0.00013111895567383906,1.2983452869715489e-05,6.5284412428424915e-06,5.466067373215894e-07
"POLYGON ((8.384275985115533 14.672482973952183, 8.683714413155373 14.672482973952183, 8.683714413155373 14.971921401992024, 8.384275985115533 14.971921401992024, 8.384275985115533 14.672482973952183))",9_16_4,NER,Zinder,4.0566961703955726e-05,5.561560473878812e-06,2.0248691076983864e-06,2.4237275394038016e-07
