geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((15.870236686111545 10.180906553354577, 16.169675114151385 10.180906553354577, 16.169675114151385 10.480344981394417, 15.870236686111545 10.480344981394417, 15.870236686111545 10.180906553354577))",17_11_5,TCD,Mayo-Kebbi Est,1.8974325777910614e-05,0.00014121313332495823,0.0,1.9381233180327833e-05
"POLYGON ((15.870236686111545 10.480344981394417, 16.169675114151385 10.480344981394417, 16.169675114151385 10.779783409434257, 15.870236686111545 10.779783409434257, 15.870236686111545 10.480344981394417))",17_11_8,TCD,Mayo-Kebbi Est,2.6319167810339002e-05,0.00012865309647553899,6.278625466654698e-06,0.0
"POLYGON ((16.169675114151385 10.180906553354577, 16.469113542191227 10.180906553354577, 16.469113542191227 10.480344981394417, 16.169675114151385 10.480344981394417, 16.169675114151385 10.180906553354577))",18_11_3,TCD,Tandjile,2.568331904468676e-05,0.00017147136861771968,0.0,6.0726295484796054e-06
"POLYGON ((16.169675114151385 10.480344981394417, 16.469113542191227 10.480344981394417, 16.469113542191227 10.779783409434257, 16.169675114151385 10.779783409434257, 16.169675114151385 10.480344981394417))",18_11_6,TCD,Chari-Baguirmi,4.625721197716833e-05,0.0001671181271629331,1.0993281867124753e-05,0.0
"POLYGON ((16.469113542191227 9.881468125314736, 16.768551970231066 9.881468125314736, 16.768551970231066 10.180906553354577, 16.469113542191227 10.180906553354577, 16.469113542191227 9.881468125314736))",18_11_1,TCD,Tandjile,9.075309694208953e-06,0.00011283570074155094,8.319036523805342e-06,0.0
"POLYGON ((16.469113542191227 10.180906553354577, 16.768551970231066 10.180906553354577, 16.768551970231066 10.480344981394417, 16.469113542191227 10.480344981394417, 16.469113542191227 10.180906553354577))",18_11_4,TCD,Tandjile,6.611932269334528e-06,0.00010183424539312936,0.0,8.862210655845273e-06
"POLYGON ((16.469113542191227 10.480344981394417, 16.768551970231066 10.480344981394417, 16.768551970231066 10.779783409434257, 16.469113542191227 10.779783409434257, 16.469113542191227 10.480344981394417))",18_11_7,TCD,Chari-Baguirmi,1.4018932111959036e-05,0.000105873000868914,3.292261187420277e-06,0.0
"POLYGON ((16.768551970231066 9.881468125314736, 17.067990398270908 9.881468125314736, 17.067990398270908 10.180906553354577, 16.768551970231066 10.180906553354577, 16.768551970231066 9.881468125314736))",18_11_2,TCD,Tandjile,5.67669853299736e-06,7.896680988837928e-05,9.162917840006037e-07,0.0
"POLYGON ((16.768551970231066 10.180906553354577, 17.067990398270908 10.180906553354577, 17.067990398270908 10.480344981394417, 16.768551970231066 10.480344981394417, 16.768551970231066 10.180906553354577))",18_11_5,TCD,Chari-Baguirmi,1.7000319721434456e-06,3.495487785132207e-05,3.7322190188326387e-06,0.0
"POLYGON ((16.768551970231066 10.480344981394417, 17.067990398270908 10.480344981394417, 17.067990398270908 10.779783409434257, 16.768551970231066 10.779783409434257, 16.768551970231066 10.480344981394417))",18_11_8,TCD,Chari-Baguirmi,5.823756924358997e-06,2.261919949506792e-05,6.320541384716802e-07,0.0
"POLYGON ((17.067990398270908 9.881468125314736, 17.367428826310746 9.881468125314736, 17.367428826310746 10.180906553354577, 17.067990398270908 10.180906553354577, 17.067990398270908 9.881468125314736))",19_11_0,TCD,Tandjile,2.7889145977717086e-07,2.082329715584648e-05,4.098604426162366e-07,0.0
"POLYGON ((17.067990398270908 10.180906553354577, 17.367428826310746 10.180906553354577, 17.367428826310746 10.480344981394417, 17.067990398270908 10.480344981394417, 17.067990398270908 10.180906553354577))",19_11_3,TCD,Chari-Baguirmi,5.002428868901886e-06,2.2149732875866298e-05,0.0,2.8689829576548275e-06
"POLYGON ((17.067990398270908 10.480344981394417, 17.367428826310746 10.480344981394417, 17.367428826310746 10.779783409434257, 17.067990398270908 10.779783409434257, 17.067990398270908 10.480344981394417))",19_11_6,TCD,Guera,2.773606436470785e-06,1.4175723069215121e-05,1.5121034426725515e-06,0.0
"POLYGON ((17.367428826310746 9.881468125314736, 17.66686725435059 9.881468125314736, 17.66686725435059 10.180906553354577, 17.367428826310746 10.180906553354577, 17.367428826310746 9.881468125314736))",19_11_1,TCD,Moyen-Chari,2.8782546457155782e-06,5.964196343219579e-05,0.0,5.007451412608685e-06
"POLYGON ((17.367428826310746 10.180906553354577, 17.66686725435059 10.180906553354577, 17.66686725435059 10.480344981394417, 17.367428826310746 10.480344981394417, 17.367428826310746 10.180906553354577))",19_11_4,TCD,Guera,2.4805934784786196e-06,7.420428262633283e-06,8.394731194582483e-07,0.0
"POLYGON ((17.367428826310746 10.480344981394417, 17.66686725435059 10.480344981394417, 17.66686725435059 10.779783409434257, 17.367428826310746 10.779783409434257, 17.367428826310746 10.480344981394417))",19_11_7,TCD,Guera,3.107147769995076e-06,3.975307687545521e-06,8.92703149546445e-06,0.0
"POLYGON ((17.66686725435059 10.180906553354577, 17.966305682390427 10.180906553354577, 17.966305682390427 10.480344981394417, 17.66686725435059 10.480344981394417, 17.66686725435059 10.180906553354577))",19_11_5,TCD,Guera,1.263493623105047e-06,6.9136032152750524e-06,3.036564418746218e-06,0.0
"POLYGON ((17.66686725435059 10.480344981394417, 17.966305682390427 10.480344981394417, 17.966305682390427 10.779783409434257, 17.66686725435059 10.779783409434257, 17.66686725435059 10.480344981394417))",19_11_8,TCD,Guera,1.450237737787584e-07,6.158905951698338e-06,0.0,2.848509870764674e-06
"POLYGON ((17.966305682390427 10.180906553354577, 18.26574411043027 10.180906553354577, 18.26574411043027 10.480344981394417, 17.966305682390427 10.480344981394417, 17.966305682390427 10.180906553354577))",20_11_3,TCD,Guera,6.539339093992572e-08,1.0326004767371596e-07,1.5459516190159282e-07,0.0
"POLYGON ((17.966305682390427 10.480344981394417, 18.26574411043027 10.480344981394417, 18.26574411043027 10.779783409434257, 17.966305682390427 10.779783409434257, 17.966305682390427 10.480344981394417))",20_11_6,TCD,Guera,3.469348820125402e-08,7.43493834424403e-08,5.102816121509754e-08,0.0
"POLYGON ((18.26574411043027 9.881468125314736, 18.565182538470108 9.881468125314736, 18.565182538470108 10.180906553354577, 18.26574411043027 10.180906553354577, 18.26574411043027 9.881468125314736))",20_11_1,TCD,Guera,8.681984863099877e-08,5.154004628253237e-06,1.01104025102423e-07,0.0
